http://www.scenta.co.uk/tcaep/maths/number/logtab/index.htm,,,,,,,,,,
-1,0,1,2,3,4,5,6,7,8,9
55,7404,7412,7419,7427,7435,7443,7451,7459,7466,7474
56,7482,7490,7497,7505,7513,7520,7528,7536,7545,7551
57,7559,7566,7574,7582,7589,7597,7604,7612,7619,7627
58,7634,7642,7649,7657,7664,7672,7679,7686,7694,7701
59,7709,7716,7723,7731,7738,7745,7752,7760,7767,7774
60,7782,7789,7796,7803,7810,7818,7825,7832,7839,7846
61,7853,7860,7868,7875,7882,7889,7896,7903,7910,7917
62,7924,7931,7938,7945,7952,7959,7966,7973,7980,7987
63,7993,8000,8007,8014,8021,8028,8035,8041,8048,8055
64,8062,8069,8075,8082,8089,8096,8102,8109,8116,8122
65,8129,8136,8142,8149,8156,8162,8169,8176,8182,8189
66,8195,8202,8209,8215,8222,8228,8235,8241,8248,8254
67,8261,8267,8274,8280,8287,8293,8299,8306,8312,8319
68,8325,8331,8338,8344,8351,8357,8363,8370,8376,8382
69,8388,8395,8401,8407,8414,8420,8426,8432,8439,8445
70,8451,8457,8463,8470,8476,8482,8488,8494,8500,8506
71,8513,8519,8525,8531,8537,8543,8549,8555,8561,8567
72,8573,8579,8585,8591,8597,8603,8609,8615,8621,8627
73,8633,8639,8645,8651,8657,8663,8669,8675,8681,8686
74,8692,8698,9704,8710,8716,8722,8727,8733,8739,8745
75,8751,8756,8762,8768,8774,8779,8785,8791,8797,8802
76,8808,8814,8820,8825,8831,8837,8842,8848,8854,8859
77,8865,8871,8876,8882,8887,8893,8899,8904,8910,8915
78,8921,8927,8932,8938,8943,8949,8954,8960,8965,8971
79,8976,8982,8987,8993,8998,9004,9009,9015,9020,9025
80,9031,9036,9042,9047,9053,9058,9063,9069,9074,9079
81,9085,9090,9096,9101,9106,9112,9117,9122,9128,9133
82,9138,9143,9149,9154,9159,9165,9170,9175,9180,9186
83,9191,9196,9201,9206,9212,9217,9222,9227,9232,9238
84,9243,9248,9253,9258,9263,9269,9274,9279,9284,9289
85,9249,9299,9304,9309,9315,9320,9325,9330,9335,9340
86,9345,9350,9355,9360,9365,9370,9375,9380,9385,9390
87,9395,9400,9405,9410,9415,9420,9425,9430,9435,9440
88,9445,9450,9455,9460,9465,9469,9474,9479,9484,9489
89,9494,9499,9504,9509,9513,9518,9523,9528,9533,9538
90,9542,9547,9552,9557,9562,9566,9571,9576,9581,9586
91,9590,9595,9600,9605,9609,9614,9619,9624,9628,9633
92,9638,9643,9647,9652,9657,9661,9666,9671,9675,9680
93,9685,9689,9694,9699,9703,9708,9713,9717,9722,9727
94,9731,9736,9741,9743,9750,9754,9759,9763,9768,9773
95,9777,9782,9786,9791,9795,9800,9805,9809,9814,9818
96,9823,9827,9832,9836,9841,9845,9850,9854,9859,9863
97,9868,9872,9877,9881,9886,9890,9894,9899,9903,9908
98,9912,9917,9921,9926,9930,9934,9939,9943,9948,9952
99,9956,9961,9965,9969,9974,9978,9983,9987,9991,9996
